#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
1,BSE,Aavas Financiers,"Change in Senior Management Personnel (""SMP"") of the Company",2026-05-01,https://www.bseindia.com/xml-data/corpfiling/AttachLive/54c2f35c-c653-462c-a120-ef5e5e9a3adc.pdf,,Competitor Intelligence — Operational Signals,Kept,Mr. Selvin Uthaman · Resignation · 2026-05-01
2,BSE,Aavas Financiers,"Audio recording of Earnings Conference Call for the Quarter and Financial Year ended March 31, 2026",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4daca36e-f56e-4846-86ad-c86fc111b9c9.pdf,,(dropped),Dropped — Routine / Other,
3,BSE,Aavas Financiers,"Outcome of Board Meeting held on Tuesday, May 05, 2026",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/21b00e67-5092-4a1e-899b-cde9fc26a563.pdf,,Competitor Intelligence — Risk & Governance,Kept,
4,BSE,Aavas Financiers,"Investor Presentation on the Audited Financial Results for the Quarter and Financial year ended March 31, 2026",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/83af40cf-e12c-433f-8858-abb9be2eb779.pdf,,(dropped),Dropped — Routine / Other,
5,BSE,Aavas Financiers,"Investor Release on the Financial and Operational Performance of the Company for the Quarter and Financial Year ended March 31, 2026",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a3270464-3aa3-4cea-9266-659189ce6c65.pdf,,(dropped),Dropped — Routine / Other,
6,BSE,Aavas Financiers,"Outcome of the Board Meeting held on Tuesday, May 05, 2026",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/07d18931-33ba-4b16-8faa-7d1af3f98cf1.pdf,,(dropped),Dropped — Routine / Other,
7,BSE,Aavas Financiers,"Copies of Newspaper Clippings of Audited Financial Results for the Quarter and Financial Year ended March 31, 2026",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7efee376-4191-423d-bdbd-3863ecea475a.pdf,,(dropped),Dropped — Routine / Other,
8,BSE,Aavas Financiers,"Transcript of Earnings Conference Call for the Quarter and Financial Year ended March 31, 2026",2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/884d37ad-c0c7-49d5-9f49-bd091cda4838.pdf,,(dropped),Dropped — Routine / Other,
9,BSE,Aavas Financiers,"Intimation of Investor(s)/Analyst(s) Meet/Call Scheduled to be held on Tuesday, May 19, 2026.",2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1f526174-8b4f-4d23-891d-2760ab21d603.pdf,,(dropped),Dropped — Routine / Other,
10,BSE,Aditya Birla Housing Finance,Audio Recording of Conference Call on the financial results (Standalone and Consolidated ) for the quarter and year ended 31 March 2026,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/85b13eef-e26b-48f7-b148-d7321da7cc93.pdf,,(dropped),Dropped — Routine / Other,
11,BSE,Aditya Birla Housing Finance,"Investor Presentation on the Financial Results for the quarter and year ended March 31, 2026",2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/86fa7612-3534-43e1-af99-10403ab1ad93.pdf,,(dropped),Dropped — Routine / Other,
12,BSE,Aditya Birla Housing Finance,Audited Standalone and Consolidated Financial Results for the quarter and year ended 31 March 2026,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/176e91aa-8e6c-4cdf-afe2-b22db6e8dd84.pdf,,(dropped),Dropped — Routine / Other,
13,BSE,Aditya Birla Housing Finance,Please find attached Outcome of the Board meeting held on 04 May 2026,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/97611e18-21d4-4b4c-889a-4d4395232458.pdf,,(dropped),Dropped — Routine / Other,
14,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the exchange regarding the Newspaper Advertisement for the Audited Financial Results for the quarter and year ended 31 March 2026,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/22a39f4a-2b8c-403a-af7e-02c018651b5e.pdf,,(dropped),Dropped — Routine / Other,
